season,constructor,era,races,total_points,avg_grid_position,avg_finish_position,dnf_rate,wins,podiums,top10_finishes,podium_rate,top10_rate,final_rank,prev_final_rank,prev_total_points,prev_avg_grid_position,prev_avg_finish_position,prev_dnf_rate,prev_wins,prev_podiums,prev_top10_finishes,prev_podium_rate,prev_top10_rate,prev_driver_strength_mean,prev_driver_strength_max
2017,Haas,2017-2021_wide_car,20,47.0,13.7,12.55,0.75,0,0,13,0.0,0.325,8,8.0,29.0,14.0,14.452380952380953,0.8095238095238095,0.0,0.0,5.0,0.0,0.11904761904761904,0.021818181818181816,0.03515151515151515
2018,Haas,2017-2021_wide_car,21,93.0,10.214285714285714,11.976190476190476,0.6666666666666666,0,0,18,0.0,0.42857142857142855,6,8.0,47.0,13.7,12.55,0.75,0.0,0.0,13.0,0.0,0.325,0.02848484848484848,0.033939393939393936
2019,Haas,2017-2021_wide_car,21,28.0,11.261904761904763,14.404761904761905,0.7380952380952381,0,0,7,0.0,0.16666666666666666,9,6.0,93.0,10.214285714285714,11.976190476190476,0.6666666666666666,0.0,0.0,18.0,0.0,0.42857142857142855,0.05636363636363636,0.06787878787878787
2020,Haas,2017-2021_wide_car,17,3.0,15.205882352941176,15.794117647058824,0.7058823529411765,0,0,2,0.0,0.058823529411764705,9,9.0,28.0,11.261904761904763,14.404761904761905,0.7380952380952381,0.0,0.0,7.0,0.0,0.16666666666666666,0.016969696969696968,0.024242424242424242
2021,Haas,2017-2021_wide_car,22,0.0,17.976744186046513,17.325581395348838,0.8837209302325582,0,0,0,0.0,0.0,10,9.0,3.0,15.205882352941176,15.794117647058824,0.7058823529411765,0.0,0.0,2.0,0.0,0.058823529411764705,0.06545454545454546,0.06545454545454546
2022,Haas,2022-2025_ground_effect,22,33.0,13.348837209302326,14.13953488372093,0.5813953488372093,0,0,8,0.0,0.18181818181818182,9,10.0,0.0,17.976744186046513,17.325581395348838,0.8837209302325582,0.0,0.0,0.0,0.0,0.0,0.0006060606060606061,0.0012121212121212121
2023,Haas,2022-2025_ground_effect,22,9.0,13.25,15.068181818181818,0.6136363636363636,0,0,4,0.0,0.09090909090909091,9,9.0,33.0,13.348837209302326,14.13953488372093,0.5813953488372093,0.0,0.0,8.0,0.0,0.18181818181818182,0.012727272727272728,0.025454545454545455
2024,Haas,2022-2025_ground_effect,24,51.0,13.166666666666666,12.395833333333334,0.4375,0,0,16,0.0,0.3333333333333333,7,9.0,9.0,13.25,15.068181818181818,0.6136363636363636,0.0,0.0,4.0,0.0,0.09090909090909091,0.005454545454545455,0.007272727272727273
2025,Haas,2022-2025_ground_effect,24,73.0,14.604166666666666,12.145833333333334,0.2916666666666667,0,0,18,0.0,0.375,8,7.0,51.0,13.166666666666666,12.395833333333334,0.4375,0.0,0.0,16.0,0.0,0.3333333333333333,0.02121212121212121,0.033939393939393936
2011,Lotus,2010-2013_post_points_change,19,0.0,18.68421052631579,17.789473684210527,0.9473684210526315,0,0,0,0.0,0.0,10,10.0,0.0,18.86842105263158,18.13157894736842,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,Marussia,2010-2013_post_points_change,19,0.0,21.31578947368421,18.894736842105264,1.0,0,0,0,0.0,0.0,10,10.0,0.0,21.13157894736842,19.05263157894737,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,Marussia,2010-2013_post_points_change,20,0.0,20.35,18.05,0.9,0,0,0,0.0,0.0,10,10.0,0.0,21.31578947368421,18.894736842105264,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Marussia,2014-2016_early_hybrid,16,2.0,18.677419354838708,16.806451612903224,0.9354838709677419,0,0,1,0.0,0.03125,9,10.0,0.0,20.105263157894736,17.894736842105264,0.868421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Marussia,2014-2016_early_hybrid,18,0.0,17.444444444444443,16.11111111111111,0.9722222222222222,0,0,0,0.0,0.0,10,9.0,2.0,18.677419354838708,16.806451612903224,0.9354838709677419,0.0,0.0,1.0,0.0,0.03125,0.0,0.0
2011,McLaren,2010-2013_post_points_change,19,497.0,4.026315789473684,5.842105263157895,0.13157894736842105,6,18,33,0.47368421052631576,0.868421052631579,2,2.0,454.0,6.0,6.394736842105263,0.18421052631578946,5.0,16.0,31.0,0.42105263157894735,0.8157894736842105,0.35393939393939394,0.38181818181818183
2012,McLaren,2010-2013_post_points_change,20,378.0,5.375,9.075,0.275,7,13,28,0.325,0.7,3,2.0,497.0,4.026315789473684,5.842105263157895,0.13157894736842105,6.0,18.0,33.0,0.47368421052631576,0.868421052631579,0.3921212121212121,0.43636363636363634
2013,McLaren,2010-2013_post_points_change,19,122.0,10.736842105263158,9.631578947368421,0.21052631578947367,0,0,25,0.0,0.6578947368421053,5,3.0,378.0,5.375,9.075,0.275,7.0,13.0,28.0,0.325,0.7,0.1993939393939394,0.3006060606060606
2014,McLaren,2014-2016_early_hybrid,19,181.0,8.631578947368421,8.947368421052632,0.34210526315789475,0,2,25,0.05263157894736842,0.6578947368421053,5,5.0,122.0,10.736842105263158,9.631578947368421,0.21052631578947367,0.0,0.0,25.0,0.0,0.6578947368421053,0.08848484848484849,0.08848484848484849
2015,McLaren,2014-2016_early_hybrid,19,27.0,15.842105263157896,14.473684210526315,0.7894736842105263,0,0,6,0.0,0.15789473684210525,9,5.0,181.0,8.631578947368421,8.947368421052632,0.34210526315789475,0.0,2.0,25.0,0.05263157894736842,0.6578947368421053,0.14626262626262626,0.20727272727272728
2016,McLaren,2014-2016_early_hybrid,21,76.0,12.571428571428571,12.714285714285714,0.6904761904761905,0,0,17,0.0,0.40476190476190477,6,9.0,27.0,15.842105263157896,14.473684210526315,0.7894736842105263,0.0,0.0,6.0,0.0,0.15789473684210525,0.016363636363636365,0.019393939393939394
2017,McLaren,2017-2021_wide_car,20,30.0,13.85,13.85,0.85,0,0,8,0.0,0.2,9,6.0,76.0,12.571428571428571,12.714285714285714,0.6904761904761905,0.0,0.0,17.0,0.0,0.40476190476190477,0.03070707070707071,0.06545454545454546
2018,McLaren,2017-2021_wide_car,21,62.0,14.404761904761905,12.761904761904763,0.7619047619047619,0,0,13,0.0,0.30952380952380953,7,9.0,30.0,13.85,13.85,0.85,0.0,0.0,8.0,0.0,0.2,0.01818181818181818,0.020606060606060607
2019,McLaren,2017-2021_wide_car,21,145.0,9.80952380952381,10.69047619047619,0.5714285714285714,0,1,24,0.023809523809523808,0.5714285714285714,4,7.0,62.0,14.404761904761905,12.761904761904763,0.7619047619047619,0.0,0.0,13.0,0.0,0.30952380952380953,0.06424242424242424,0.06424242424242424
2020,McLaren,2017-2021_wide_car,17,202.0,8.558823529411764,8.617647058823529,0.35294117647058826,0,2,25,0.058823529411764705,0.7352941176470589,4,4.0,145.0,9.80952380952381,10.69047619047619,0.5714285714285714,0.0,1.0,24.0,0.023809523809523808,0.5714285714285714,0.09090909090909091,0.12242424242424242
2021,McLaren,2017-2021_wide_car,22,274.0,8.272727272727273,7.795454545454546,0.36363636363636365,1,5,33,0.11363636363636363,0.75,4,4.0,202.0,8.558823529411764,8.617647058823529,0.35294117647058826,0.0,2.0,25.0,0.058823529411764705,0.7352941176470589,0.14,0.15636363636363637
2022,McLaren,2022-2025_ground_effect,22,150.0,9.727272727272727,10.636363636363637,0.2727272727272727,0,1,24,0.022727272727272728,0.5454545454545454,5,4.0,274.0,8.272727272727273,7.795454545454546,0.36363636363636365,1.0,5.0,33.0,0.11363636363636363,0.75,0.18727272727272726,0.21818181818181817
2023,McLaren,2022-2025_ground_effect,22,266.0,8.795454545454545,9.454545454545455,0.2727272727272727,0,9,27,0.20454545454545456,0.6136363636363636,4,5.0,150.0,9.727272727272727,10.636363636363637,0.2727272727272727,0.0,1.0,24.0,0.022727272727272728,0.5454545454545454,0.14666666666666667,0.14666666666666667
2024,McLaren,2022-2025_ground_effect,24,609.0,4.395833333333333,4.708333333333333,0.020833333333333332,6,21,46,0.4375,0.9583333333333334,1,4.0,266.0,8.795454545454545,9.454545454545455,0.2727272727272727,0.0,9.0,27.0,0.20454545454545456,0.6136363636363636,0.18848484848484848,0.26545454545454544
2025,McLaren,2022-2025_ground_effect,24,775.0,2.9791666666666665,4.229166666666667,0.10416666666666667,14,34,43,0.7083333333333334,0.8958333333333334,1,1.0,609.0,4.395833333333333,4.708333333333333,0.020833333333333332,6.0,21.0,46.0,0.4375,0.9583333333333334,0.46909090909090906,0.5442424242424242
2011,Mercedes,2010-2013_post_points_change,19,165.0,8.921052631578947,10.421052631578947,0.47368421052631576,0,0,25,0.0,0.6578947368421053,4,4.0,214.0,8.657894736842104,9.157894736842104,0.2894736842105263,0.0,3.0,27.0,0.07894736842105263,0.7105263157894737,0.1387878787878788,0.1903030303030303
2012,Mercedes,2010-2013_post_points_change,20,142.0,9.525,12.575,0.325,1,3,18,0.075,0.45,5,4.0,165.0,8.921052631578947,10.421052631578947,0.47368421052631576,0.0,0.0,25.0,0.0,0.6578947368421053,0.1,0.10787878787878788
2013,Mercedes,2010-2013_post_points_change,19,360.0,3.8684210526315788,6.684210526315789,0.13157894736842105,3,9,33,0.23684210526315788,0.868421052631579,2,5.0,142.0,9.525,12.575,0.325,1.0,3.0,18.0,0.075,0.45,0.2290909090909091,0.3212121212121212
2014,Mercedes,2014-2016_early_hybrid,19,701.0,2.9473684210526314,4.2105263157894735,0.15789473684210525,16,31,32,0.8157894736842105,0.8421052631578947,1,2.0,360.0,3.8684210526315788,6.684210526315789,0.13157894736842105,3.0,9.0,33.0,0.23684210526315788,0.868421052631579,0.2636363636363636,0.2715151515151515
2015,Mercedes,2014-2016_early_hybrid,19,703.0,1.8157894736842106,3.210526315789474,0.07894736842105263,16,32,35,0.8421052631578947,0.9210526315789473,1,1.0,701.0,2.9473684210526314,4.2105263157894735,0.15789473684210525,16.0,31.0,32.0,0.8157894736842105,0.8421052631578947,0.6157575757575757,0.6957575757575758
2016,Mercedes,2014-2016_early_hybrid,21,765.0,2.9761904761904763,3.4761904761904763,0.07142857142857142,19,33,39,0.7857142857142857,0.9285714285714286,1,1.0,703.0,1.8157894736842106,3.210526315789474,0.07894736842105263,16.0,32.0,35.0,0.8421052631578947,0.9210526315789473,0.62,0.686060606060606
2017,Mercedes,2017-2021_wide_car,20,668.0,3.475,3.175,0.05,12,26,39,0.65,0.975,1,1.0,765.0,2.9761904761904763,3.4761904761904763,0.07142857142857142,19.0,33.0,39.0,0.7857142857142857,0.9285714285714286,0.396969696969697,0.6848484848484848
2018,Mercedes,2017-2021_wide_car,21,655.0,3.4285714285714284,3.857142857142857,0.09523809523809523,11,25,39,0.5952380952380952,0.9285714285714286,1,1.0,668.0,3.475,3.175,0.05,12.0,26.0,39.0,0.65,0.975,0.5563636363636364,0.6278787878787879
2019,Mercedes,2017-2021_wide_car,21,739.0,3.0238095238095237,3.238095238095238,0.07142857142857142,15,32,40,0.7619047619047619,0.9523809523809523,1,1.0,655.0,3.4285714285714284,3.857142857142857,0.09523809523809523,11.0,25.0,39.0,0.5952380952380952,0.9285714285714286,0.5393939393939394,0.730909090909091
2020,Mercedes,2017-2021_wide_car,17,573.0,2.088235294117647,3.735294117647059,0.058823529411764705,13,25,31,0.7352941176470589,0.9117647058823529,1,1.0,739.0,3.0238095238095237,3.238095238095238,0.07142857142857142,15.0,32.0,40.0,0.7619047619047619,0.9523809523809523,0.42383838383838385,0.7369696969696969
